"","Date","Open","High","Low","Close","Volume","Adj.Close","DayOfWeek","MonthOfYear","Year","CloseChange","PercentCloseChange"
"2",1986-04-21,390.399994,391.299988,390,391,129100000,391,"1---Monday","04",1986,0.899993999999992,0.231301461352327
"3",1986-04-22,392.200012,392.399994,390.200012,390.5,145400000,390.5,"2---Tuesday","04",1986,-0.5,-0.128205128205128
"4",1986-04-23,389.399994,390.5,388.299988,389.100006,1.25e+08,389.100006,"3---Wednesday","04",1986,-1.39999399999999,-0.359433632862642
"5",1986-04-24,390,391.600006,389.100006,391.5,143100000,391.5,"4---Thursday","04",1986,2.39999399999999,0.618395764724619
"6",1986-04-25,392.299988,392.5,391.5,392.299988,133300000,392.299988,"5---Friday","04",1986,0.799987999999985,0.204862483994875
"7",1986-04-28,392.5,393,390.700012,391.399994,110200000,391.399994,"1---Monday","04",1986,-0.899993999999992,-0.230001029287022
"8",1986-04-29,391.5,392,388.799988,389.200012,124300000,389.200012,"2---Tuesday","04",1986,-2.19998199999998,-0.563519988168847
"9",1986-04-30,387.299988,389.299988,383.100006,383.200012,1.21e+08,383.200012,"3---Wednesday","04",1986,-6,-1.54559500631855
"10",1986-05-01,383.200012,383.200012,381.5,381.700012,114300000,381.700012,"4---Thursday","05",1986,-1.5,-0.392464665856682
"11",1986-05-02,383,383.799988,381.700012,383.200012,102600000,383.200012,"5---Friday","05",1986,1.5,0.39401101988933
"12",1986-05-05,384.299988,386.100006,383.200012,386,99190000,386,"1---Monday","05",1986,2.79998799999998,0.73259756988181
"13",1986-05-06,386.799988,387.200012,386,386.299988,108500000,386.299988,"2---Tuesday","05",1986,0.299987999999985,0.0779189610389571
"14",1986-05-07,385.799988,386.299988,384,385.299988,1.16e+08,385.299988,"3---Wednesday","05",1986,-1,-0.259538030403468
"15",1986-05-08,386.5,387.5,385.399994,387.399994,110500000,387.399994,"4---Thursday","05",1986,2.10000600000001,0.546449665775167
"16",1986-05-09,387.299988,389.100006,386.799988,389.100006,115900000,389.100006,"5---Friday","05",1986,1.70001200000002,0.439961704554275
"17",1986-05-12,388.700012,389.200012,387.799988,388.100006,101500000,388.100006,"1---Monday","05",1986,-1,-0.257665546132457
"18",1986-05-13,387.299988,388.200012,386,386.700012,107600000,386.700012,"2---Tuesday","05",1986,-1.39999399999999,-0.361662097210092
"19",1986-05-14,387.5,387.700012,386,387.299988,111900000,387.299988,"3---Wednesday","05",1986,0.59997599999997,0.155555089793456
"20",1986-05-15,387.5,387.600006,385.399994,385.600006,1.08e+08,385.600006,"4---Thursday","05",1986,-1.69998199999998,-0.440067836605777
"21",1986-05-16,384.700012,386.100006,384.200012,384.700012,103800000,384.700012,"5---Friday","05",1986,-0.899993999999992,-0.234007796661343
"22",1986-05-19,384.200012,385,383.600006,383.700012,92730000,383.700012,"1---Monday","05",1986,-1,-0.260620268106742
"23",1986-05-20,383.5,385.299988,383.200012,385.299988,116600000,385.299988,"2---Tuesday","05",1986,1.59997599999997,0.418075764262053
"24",1986-05-21,386.600006,386.700012,385.200012,386.100006,137500000,386.100006,"3---Wednesday","05",1986,0.800018000000023,0.208175390315137
"25",1986-05-22,386.799988,389.700012,386,389.600006,143900000,389.600006,"4---Thursday","05",1986,3.5,0.908854828737655
"26",1986-05-23,390.899994,392,389.600006,391.899994,115100000,391.899994,"5---Friday","05",1986,2.29998799999998,0.591865147835326
"27",1986-05-27,393.299988,394.899994,391.899994,394.899994,111800000,394.899994,"2---Tuesday","05",1986,3,0.767459720145199
"28",1986-05-28,396.600006,397.200012,395,397.200012,131500000,397.200012,"3---Wednesday","05",1986,2.30001800000002,0.583909122882602
"29",1986-05-29,396.899994,398.100006,396.399994,398,130400000,398,"4---Thursday","05",1986,0.799987999999985,0.201915188230733
"30",1986-05-30,398.799988,400.399994,398,400.200012,1.33e+08,400.200012,"5---Friday","05",1986,2.20001200000002,0.554159193954664
"31",1986-06-02,400.700012,401.299988,399.299988,399.399994,110600000,399.399994,"1---Monday","06",1986,-0.800018000000023,-0.200405304597041
"32",1986-06-03,398.600006,399.5,398.299988,399.5,120300000,399.5,"2---Tuesday","06",1986,0.100006000000008,0.0251019080085648
"33",1986-06-04,400,400.799988,398.5,399.100006,122700000,399.100006,"3---Wednesday","06",1986,-0.399993999999992,-0.100374905897112
"34",1986-06-05,399.399994,400,399.100006,400,125600000,400,"4---Thursday","06",1986,0.899993999999992,0.226072340224982
"35",1986-06-06,400.600006,400.799988,400,400.299988,120600000,400.299988,"5---Friday","06",1986,0.299987999999985,0.0751849624060112
"36",1986-06-09,398.799988,400.399994,394.600006,394.700012,1.15e+08,394.700012,"1---Monday","06",1986,-5.59997599999997,-1.40244832664507
"37",1986-06-10,392.899994,394.799988,391.799988,392.799988,119800000,392.799988,"2---Tuesday","06",1986,-1.90002400000003,-0.482607046504238
"38",1986-06-11,393.700012,395.5,392.799988,395.399994,124900000,395.399994,"3---Wednesday","06",1986,2.60000600000001,0.663605431248765
"39",1986-06-12,396.200012,396.899994,395.5,396.5,130100000,396.5,"4---Thursday","06",1986,1.10000600000001,0.278906190855573
"40",1986-06-13,398.200012,399.700012,396.600006,399.600006,139300000,399.600006,"5---Friday","06",1986,3.10000600000001,0.783819469026551
"41",1986-06-16,399.600006,400.5,398.200012,398.5,118400000,398.5,"1---Monday","06",1986,-1.10000600000001,-0.275967381696429
"42",1986-06-17,398.899994,399.399994,396.200012,396.299988,119100000,396.299988,"2---Tuesday","06",1986,-2.20001200000002,-0.553462138364784
"43",1986-06-18,394.799988,396.399994,393.899994,395.200012,125400000,395.200012,"3---Wednesday","06",1986,-1.09997599999997,-0.278263605715052
"44",1986-06-19,395.899994,397,395.200012,396.399994,111300000,396.399994,"4---Thursday","06",1986,1.19998199999998,0.304409427567439
"45",1986-06-20,396,396.899994,395.899994,396.899994,127600000,396.899994,"5---Friday","06",1986,0.5,0.126454225489948
"46",1986-06-23,396.899994,397.5,396.5,396.799988,113500000,396.799988,"1---Monday","06",1986,-0.100006000000008,-0.0252604196806347
"47",1986-06-24,397.700012,399,396.799988,398.899994,112900000,398.899994,"2---Tuesday","06",1986,2.10000600000001,0.53057252745546
"48",1986-06-25,401.5,402.600006,399.600006,402.200012,124200000,402.200012,"3---Wednesday","06",1986,3.30001800000002,0.829358645328359
"49",1986-06-26,402.200012,402.899994,402,402.899994,138300000,402.899994,"4---Thursday","06",1986,0.699981999999977,0.174472078530241
"50",1986-06-27,403.100006,403.600006,402.899994,403.600006,128500000,403.600006,"5---Friday","06",1986,0.700012000000015,0.174175668188742
"51",1986-06-30,404.200012,405.5,403.5,405.5,121300000,405.5,"1---Monday","06",1986,1.89999399999999,0.471930941799338
"52",1986-07-01,407,407.799988,405.5,407.600006,132800000,407.600006,"2---Tuesday","07",1986,2.10000600000001,0.519160939431399
"53",1986-07-02,408.299988,409.600006,407.600006,409.5,136300000,409.5,"3---Wednesday","07",1986,1.89999399999999,0.467288237078873
"54",1986-07-03,410,411.200012,409.5,411.200012,1.04e+08,411.200012,"4---Thursday","07",1986,1.70001200000002,0.416159608323137
"55",1986-07-07,409,411.299988,400.899994,401,112100000,401,"1---Monday","07",1986,-10.200012,-2.48659475904648
"56",1986-07-08,394.200012,400.899994,389.799988,390.700012,137200000,390.700012,"2---Tuesday","07",1986,-10.299988,-2.574997
"57",1986-07-09,391.399994,393.5,390.600006,393.399994,120200000,393.399994,"3---Wednesday","07",1986,2.69998199999998,0.692836006379178
"58",1986-07-10,393.200012,394.700012,390.899994,392,107300000,392,"4---Thursday","07",1986,-1.39999399999999,-0.35677727354909
"59",1986-07-11,392.399994,392.899994,391.299988,391.600006,104600000,391.600006,"5---Friday","07",1986,-0.399993999999992,-0.102300255754474
"60",1986-07-14,388.100006,391.600006,384.600006,384.799988,108600000,384.799988,"1---Monday","07",1986,-6.80001800000002,-1.74091599988353
"61",1986-07-15,382.899994,384.799988,378.200012,378.700012,132700000,378.700012,"2---Tuesday","07",1986,-6.09997599999997,-1.58936325969869
"62",1986-07-16,380,380.799988,378.700012,379.700012,115800000,379.700012,"3---Wednesday","07",1986,1,0.264760383433612
"63",1986-07-17,380.899994,381.700012,379.700012,381.600006,112200000,381.600006,"4---Thursday","07",1986,1.89999399999999,0.501714797938795
"64",1986-07-18,380.399994,381.799988,379.600006,381.100006,110900000,381.100006,"5---Friday","07",1986,-0.5,-0.131371516583739
"65",1986-07-21,380,381.200012,379.299988,379.5,81760000,379.5,"1---Monday","07",1986,-1.60000600000001,-0.420943429293187
"66",1986-07-22,379.5,380.399994,379.100006,379.899994,95850000,379.899994,"2---Tuesday","07",1986,0.399993999999992,0.105678731836194
"67",1986-07-23,379.700012,380.5,379.700012,379.899994,101600000,379.899994,"3---Wednesday","07",1986,0,0
"68",1986-07-24,380.100006,380.700012,378.700012,378.700012,113500000,378.700012,"4---Thursday","07",1986,-1.19998199999998,-0.316701509369772
"69",1986-07-25,379.100006,379.899994,378.700012,379.799988,95040000,379.799988,"5---Friday","07",1986,1.09997599999997,0.291230067527763
"70",1986-07-28,379.799988,380.100006,374.600006,374.799988,89130000,374.799988,"1---Monday","07",1986,-5,-1.31995780316656
"71",1986-07-29,372.899994,374.799988,371.899994,372,97720000,372,"2---Tuesday","07",1986,-2.79998799999998,-0.749060484185993
"72",1986-07-30,370.700012,372.100006,369.100006,370.799988,103100000,370.799988,"3---Wednesday","07",1986,-1.20001200000002,-0.323453369272241
"73",1986-07-31,371.5,371.600006,370.799988,371.399994,98640000,371.399994,"4---Thursday","07",1986,0.600006000000008,0.162251492555486
"74",1986-08-01,372.5,372.700012,370.600006,370.700012,99370000,370.700012,"5---Friday","08",1986,-0.699981999999977,-0.188980024659498
"75",1986-08-04,367.899994,370.600006,365.700012,366.700012,81420000,366.700012,"1---Monday","08",1986,-4,-1.08195830948472
"76",1986-08-05,366.899994,367.600006,366.600006,366.799988,101900000,366.799988,"2---Tuesday","08",1986,0.0999759999999696,0.0273382545035218
"77",1986-08-06,365.899994,367,364.399994,364.700012,93740000,364.700012,"3---Wednesday","08",1986,-2.09997599999997,-0.574077656886082
"78",1986-08-07,364.899994,365.600006,364.399994,365.100006,101600000,365.100006,"4---Thursday","08",1986,0.399993999999992,0.109979100028183
"79",1986-08-08,365.899994,366.399994,365.100006,365.799988,100100000,365.799988,"5---Friday","08",1986,0.699981999999977,0.192249928169454
"80",1986-08-11,367.700012,370,365.899994,369.899994,94150000,369.899994,"1---Monday","08",1986,4.10000600000001,1.12390519047934
"81",1986-08-12,371.5,373.399994,369.899994,373.299988,110600000,373.299988,"2---Tuesday","08",1986,3.39999399999999,0.92165737470844
"82",1986-08-13,374.600006,377.100006,373.299988,376.899994,121300000,376.899994,"3---Wednesday","08",1986,3.60000600000001,0.966963770087472
"83",1986-08-14,377.899994,379.5,377.899994,379.5,110800000,379.5,"4---Thursday","08",1986,2.60000600000001,0.691674924581139
"84",1986-08-15,379.399994,380.299988,379.399994,380.200012,98770000,380.200012,"5---Friday","08",1986,0.700012000000015,0.18494372523118
"85",1986-08-18,379.100006,380.5,378.700012,379.299988,85400000,379.299988,"1---Monday","08",1986,-0.90002400000003,-0.237348093754815
"86",1986-08-19,378.700012,379.399994,378.299988,378.799988,111400000,378.799988,"2---Tuesday","08",1986,-0.5,-0.132170239455572
"87",1986-08-20,379.200012,381,378.799988,380.899994,113900000,380.899994,"3---Wednesday","08",1986,2.10000600000001,0.555851261699883
"88",1986-08-21,381.600006,382.299988,380.799988,381.200012,111900000,381.200012,"4---Thursday","08",1986,0.300018000000023,0.0789728888492751
"89",1986-08-22,381,381.700012,380.600006,381.5,101300000,381.5,"5---Friday","08",1986,0.299987999999985,0.0789026803081702
"90",1986-08-25,379.799988,381.600006,379.200012,379.299988,74800000,379.299988,"1---Monday","08",1986,-2.20001200000002,-0.578189750328519
"91",1986-08-26,380.100006,380.5,379.100006,380.5,98840000,380.5,"2---Tuesday","08",1986,1.20001200000002,0.317211746779124
"92",1986-08-27,381.600006,381.700012,380.5,381.700012,1.03e+08,381.700012,"3---Wednesday","08",1986,1.20001200000002,0.316208695652178
"93",1986-08-28,381.700012,382.5,381.299988,382.399994,1.05e+08,382.399994,"4---Thursday","08",1986,0.699981999999977,0.183867081149442
"94",1986-08-29,383,383.200012,382.299988,382.899994,82250000,382.899994,"5---Friday","08",1986,0.5,0.131095964306701
"95",1986-09-02,382.799988,384,380,380.100006,97580000,380.100006,"2---Tuesday","09",1986,-2.79998799999998,-0.733173093477447
"96",1986-09-03,379,380.200012,378.200012,378.899994,9.7e+07,378.899994,"3---Wednesday","09",1986,-1.20001200000002,-0.31654233210432
"97",1986-09-04,379.200012,381.200012,378.899994,381,102500000,381,"4---Thursday","09",1986,2.10000600000001,0.555704163361275
"98",1986-09-05,380.600006,381.5,378.200012,378.399994,111400000,378.399994,"5---Friday","09",1986,-2.60000600000001,-0.68421210526316
"99",1986-09-08,374.799988,378.399994,371.700012,372,97240000,372,"1---Monday","09",1986,-6.39999399999999,-1.69581189765467
"100",1986-09-09,372.100006,372.700012,369.299988,369.600006,120100000,369.600006,"2---Tuesday","09",1986,-2.39999399999999,-0.646898652291103
"101",1986-09-10,368.100006,369.600006,366.600006,366.799988,115600000,366.799988,"3---Wednesday","09",1986,-2.80001800000002,-0.759635907330946
"102",1986-09-11,362.799988,366.799988,353.299988,353.299988,138100000,353.299988,"4---Thursday","09",1986,-13.5,-3.69054140045516
"103",1986-09-12,346.5,353.200012,346.299988,346.799988,139800000,346.799988,"5---Friday","09",1986,-6.5,-1.8450185130293
"104",1986-09-15,347.399994,347.700012,345.200012,345.899994,102900000,345.899994,"1---Monday","09",1986,-0.899993999999992,-0.260264323664463
"105",1986-09-16,342.700012,345.899994,342.299988,343.700012,104900000,343.700012,"2---Tuesday","09",1986,-2.19998199999998,-0.637860840322304
"106",1986-09-17,345.399994,347.399994,343.700012,346.899994,105200000,346.899994,"3---Wednesday","09",1986,3.19998199999998,0.933756022162023
"107",1986-09-18,348.100006,349.299988,346.899994,348.600006,99960000,348.600006,"4---Thursday","09",1986,1.70001200000002,0.491475001297634
"108",1986-09-19,348.299988,349.5,347.799988,349.399994,1.04e+08,349.399994,"5---Friday","09",1986,0.799987999999985,0.230146141021639
"109",1986-09-22,350.399994,352.600006,349.399994,352.600006,89030000,352.600006,"1---Monday","09",1986,3.20001200000002,0.918487960708752
"110",1986-09-23,353.600006,353.799988,352.5,353.399994,109500000,353.399994,"2---Tuesday","09",1986,0.799987999999985,0.227527868699748
"111",1986-09-24,354.399994,354.700012,353.399994,354.5,98110000,354.5,"3---Wednesday","09",1986,1.10000600000001,0.312146997369134
"112",1986-09-25,354.5,354.799988,350.299988,351.5,102500000,351.5,"4---Thursday","09",1986,-3,-0.848656294200849
"113",1986-09-26,351,351.899994,350.200012,351.600006,84590000,351.600006,"5---Friday","09",1986,0.100006000000008,0.0285323823109865
"114",1986-09-29,348.899994,351.600006,347.100006,347.799988,82370000,347.799988,"1---Monday","09",1986,-3.80001800000002,-1.08386136194191
"115",1986-09-30,349.100006,350.700012,347.799988,350.700012,100800000,350.700012,"2---Tuesday","09",1986,2.90002400000003,0.83622378902736
"116",1986-10-01,352.5,352.899994,351.200012,352.299988,1.02e+08,352.299988,"3---Wednesday","10",1986,1.59997599999997,0.45752815130014
"117",1986-10-02,352.200012,352.700012,351.600006,352.600006,91590000,352.600006,"4---Thursday","10",1986,0.300018000000023,0.0854022232417562
"118",1986-10-03,353.5,354,352.200012,352.799988,98250000,352.799988,"5---Friday","10",1986,0.199981999999977,0.0568777009634002
"119",1986-10-06,353,353.200012,352.600006,353.200012,75450000,353.200012,"1---Monday","10",1986,0.40002400000003,0.113707792394817
"120",1986-10-07,352.399994,353.700012,352.100006,352.399994,86080000,352.399994,"2---Tuesday","10",1986,-0.800018000000023,-0.227148771363478
"121",1986-10-08,351.899994,352.899994,351.399994,352.899994,90040000,352.899994,"3---Wednesday","10",1986,0.5,0.142287993323073
"122",1986-10-09,353.600006,353.899994,352.799988,353.100006,93880000,353.100006,"4---Thursday","10",1986,0.200012000000015,0.0568377389628529
"123",1986-10-10,353.100006,353.700012,352.600006,353.5,83590000,353.5,"5---Friday","10",1986,0.399993999999992,0.113602383750028
"124",1986-10-13,353.399994,354.100006,353.100006,354.100006,45530000,354.100006,"1---Monday","10",1986,0.600006000000008,0.170214468085109
"125",1986-10-14,354.200012,354.600006,353.5,353.799988,92240000,353.799988,"2---Tuesday","10",1986,-0.300018000000023,-0.0849668634670096
"126",1986-10-15,354.5,355.700012,353.700012,355.700012,1.03e+08,355.700012,"3---Wednesday","10",1986,1.90002400000003,0.538555573873781
"127",1986-10-16,356.299988,356.700012,355.600006,356.399994,63830000,356.399994,"4---Thursday","10",1986,0.699981999999977,0.197344791744743
"128",1986-10-17,355.700012,356.600006,355.299988,355.700012,91980000,355.700012,"5---Friday","10",1986,-0.699981999999977,-0.196956109121369
"129",1986-10-20,354.100006,355.799988,353.100006,353.5,78460000,353.5,"1---Monday","10",1986,-2.20001200000002,-0.62024582057246
"130",1986-10-21,353,353.799988,352.399994,353.100006,88550000,353.100006,"2---Tuesday","10",1986,-0.399993999999992,-0.113473475177303
"131",1986-10-22,353.600006,354,353.100006,353.899994,98110000,353.899994,"3---Wednesday","10",1986,0.799987999999985,0.227204767500056
"132",1986-10-23,354.799988,356.200012,353.899994,356.200012,123200000,356.200012,"4---Thursday","10",1986,2.30001800000002,0.651747814991468
"133",1986-10-24,356.600006,356.899994,356.200012,356.700012,114500000,356.700012,"5---Friday","10",1986,0.5,0.140765761010166
"134",1986-10-27,356.100006,356.899994,355.700012,356.600006,93910000,356.600006,"1---Monday","10",1986,-0.100006000000008,-0.0281152647248175
"135",1986-10-28,357.100006,357.799988,356.5,357.200012,102400000,357.200012,"2---Tuesday","10",1986,0.600006000000008,0.168730593328507
"136",1986-10-29,357.299988,358.5,356.899994,358.5,106100000,358.5,"3---Wednesday","10",1986,1.29998799999998,0.364960122460632
"137",1986-10-30,360.799988,361.200012,358.5,361.100006,123500000,361.100006,"4---Thursday","10",1986,2.60000600000001,0.727274405594408
"138",1986-10-31,361.399994,361.600006,360,360.799988,106700000,360.799988,"5---Friday","10",1986,-0.300018000000023,-0.083315188836743
"139",1986-11-03,361,361.100006,360.600006,361.100006,111200000,361.100006,"1---Monday","11",1986,0.300018000000023,0.0833846609244531
"140",1986-11-04,361.200012,362,360.600006,361.899994,140300000,361.899994,"2---Tuesday","11",1986,0.799987999999985,0.222157174859915
"141",1986-11-05,362.100006,362.5,362.100006,362.100006,167200000,362.100006,"3---Wednesday","11",1986,0.200012000000015,0.0554203389651525
"142",1986-11-06,362,362.299988,360.600006,361.200012,112300000,361.200012,"4---Thursday","11",1986,-0.899993999999992,-0.249236772374906
"143",1986-11-07,361,361.200012,360.200012,361,99320000,361,"5---Friday","11",1986,-0.200012000000015,-0.0555280381278874
"144",1986-11-10,359.600006,361.100006,359.299988,360,100800000,360,"1---Monday","11",1986,-1,-0.277777777777778
"145",1986-11-11,360.799988,361.399994,360,361.299988,97330000,361.299988,"2---Tuesday","11",1986,1.29998799999998,0.362113649025065
"146",1986-11-12,361.399994,362,360.700012,361.200012,1.08e+08,361.200012,"3---Wednesday","11",1986,-0.0999759999999696,-0.0277479887121089
"147",1986-11-13,360.600006,361.200012,358,358,115300000,358,"4---Thursday","11",1986,-3.20001200000002,-0.888398637810155
"148",1986-11-14,358.100006,358.600006,357.5,358.5,102200000,358.5,"5---Friday","11",1986,0.5,0.140056022408964
"149",1986-11-17,357.299988,358.700012,356.899994,357.100006,91310000,357.100006,"1---Monday","11",1986,-1.39999399999999,-0.391606713286711
"150",1986-11-18,356.799988,357.299988,352.5,352.600006,118400000,352.600006,"2---Tuesday","11",1986,-4.5,-1.26368995343404
"151",1986-11-19,350.600006,352.600006,349.100006,349.799988,111200000,349.799988,"3---Wednesday","11",1986,-2.80001800000002,-0.796364605295264
"152",1986-11-20,351,352.200012,349.799988,352.200012,114500000,352.200012,"4---Thursday","11",1986,2.40002400000003,0.688080298901854
"153",1986-11-21,353.200012,354.700012,352.200012,354.700012,106800000,354.700012,"5---Friday","11",1986,2.5,0.71184507818297
"154",1986-11-24,355.899994,356.600006,354.600006,356.100006,96860000,356.100006,"1---Monday","11",1986,1.39999399999999,0.395813953209589
"155",1986-11-25,356.200012,357,356,357,113800000,357,"2---Tuesday","11",1986,0.899993999999992,0.253448038522419
