"","Date","Open","High","Low","Close","Volume","Adj.Close","DayOfWeek","MonthOfYear","Year","CloseChange","PercentCloseChange"
"2",1985-04-16,180.919998,181.779999,180.190002,181.199997,98480000,181.199997,"2---Tuesday","04","1985",0.279999000000004,0.15562416802606
"3",1985-04-17,181.199997,181.910004,181.139999,181.679993,96020000,181.679993,"3---Wednesday","04","1985",0.479996,0.266368483901806
"4",1985-04-18,181.679993,182.559998,180.75,180.839996,100600000,180.839996,"4---Thursday","04","1985",-0.839996999999983,-0.464908696338051
"5",1985-04-19,180.839996,181.25,180.419998,181.110001,81110000,181.110001,"5---Friday","04","1985",0.270004999999998,0.150136235545733
"6",1985-04-22,181.110001,181.229996,180.25,180.699997,79930000,180.699997,"1---Monday","04","1985",-0.410004000000015,-0.227640884861255
"7",1985-04-23,180.699997,181.970001,180.339996,181.880005,108900000,181.880005,"2---Tuesday","04","1985",1.18000800000002,0.656654435002587
"8",1985-04-24,181.880005,182.270004,181.740005,182.259995,99600000,182.259995,"3---Wednesday","04","1985",0.379989999999992,0.210078499279117
"9",1985-04-25,182.259995,183.429993,182.119995,183.429993,108600000,183.429993,"4---Thursday","04","1985",1.16999799999999,0.645480543017775
"10",1985-04-26,183.429993,183.610001,182.110001,182.179993,86570000,182.179993,"5---Friday","04","1985",-1.25,-0.685194347400978
"11",1985-04-29,182.179993,182.339996,180.619995,180.630005,88860000,180.630005,"1---Monday","04","1985",-1.54998799999998,-0.855496224685241
"12",1985-04-30,180.630005,180.630005,178.860001,179.830002,111800000,179.830002,"2---Tuesday","04","1985",-0.800003000000004,-0.445361564177434
"13",1985-05-01,179.830002,180.039993,178.350006,178.369995,101600000,178.369995,"3---Wednesday","05","1985",-1.46000700000002,-0.816421732187879
"14",1985-05-02,178.369995,179.009995,178.369995,179.009995,107700000,179.009995,"4---Thursday","05","1985",0.640000000000015,0.360827658590177
"15",1985-05-03,179.009995,180.300003,179.009995,180.080002,94870000,180.080002,"5---Friday","05","1985",1.070007,0.601093775661307
"16",1985-05-06,180.080002,180.559998,179.820007,179.990005,85650000,179.990005,"1---Monday","05","1985",-0.089997000000011,-0.0502551926484851
"17",1985-05-07,179.990005,181.089996,179.869995,180.759995,100200000,180.759995,"2---Tuesday","05","1985",0.769990000000007,0.430186031896031
"18",1985-05-08,180.759995,180.759995,179.960007,180.619995,101300000,180.619995,"3---Wednesday","05","1985",-0.140000000000015,-0.0778816221039697
"19",1985-05-09,180.619995,181.970001,180.619995,181.919998,1.11e+08,181.919998,"4---Thursday","05","1985",1.300003,0.7237518295221
"20",1985-05-10,181.919998,184.740005,181.919998,184.279999,140300000,184.279999,"5---Friday","05","1985",2.36000100000001,1.30444452027907
"21",1985-05-13,184.279999,184.610001,184.190002,184.610001,85830000,184.610001,"1---Monday","05","1985",0.330002000000007,0.180053471082793
"22",1985-05-14,184.610001,185.169998,183.649994,183.869995,97360000,183.869995,"2---Tuesday","05","1985",-0.740006000000022,-0.403031423108604
"23",1985-05-15,183.869995,185.429993,183.860001,184.539993,106100000,184.539993,"3---Wednesday","05","1985",0.669998000000021,0.366379405216269
"24",1985-05-16,184.539993,185.740005,184.539993,185.660004,99420000,185.660004,"4---Thursday","05","1985",1.12001099999998,0.610227221704197
"25",1985-05-17,185.660004,187.940002,185.470001,187.419998,124600000,187.419998,"5---Friday","05","1985",1.75999400000001,0.953099730248033
"26",1985-05-20,187.419998,189.979996,187.419998,189.720001,146300000,189.720001,"1---Monday","05","1985",2.300003,1.2337748228063
"27",1985-05-21,189.720001,189.809998,188.779999,189.639999,130200000,189.639999,"2---Tuesday","05","1985",-0.0800020000000075,-0.042391903124252
"28",1985-05-22,189.639999,189.639999,187.710007,188.559998,101400000,188.559998,"3---Wednesday","05","1985",-1.08000099999998,-0.572519617114704
"29",1985-05-23,188.559998,188.559998,187.449997,187.600006,1.01e+08,187.600006,"4---Thursday","05","1985",-0.959992,-0.511831952568052
"30",1985-05-24,187.600006,188.289993,187.289993,188.289993,85970000,188.289993,"5---Friday","05","1985",0.689987000000002,0.369767940950657
"31",1985-05-28,188.289993,188.940002,187.380005,187.860001,90600000,187.860001,"2---Tuesday","05","1985",-0.429991999999999,-0.229586211795095
"32",1985-05-29,187.860001,187.860001,187.110001,187.679993,96540000,187.679993,"3---Wednesday","05","1985",-0.180008000000015,-0.0963330830764659
"33",1985-05-30,187.679993,188.039993,187.089996,187.75,108300000,187.75,"4---Thursday","05","1985",0.0700070000000039,0.0375010727582382
"34",1985-05-31,187.75,189.589996,187.449997,189.550003,134100000,189.550003,"5---Friday","05","1985",1.800003,0.963857028112452
"35",1985-06-03,189.550003,190.360001,188.929993,189.320007,1.25e+08,189.320007,"1---Monday","06","1985",-0.229996,-0.121981435343706
"36",1985-06-04,189.320007,190.270004,188.880005,190.039993,115400000,190.039993,"2---Tuesday","06","1985",0.719986000000006,0.382320504055634
"37",1985-06-05,190.039993,191.020004,190.039993,190.160004,143900000,190.160004,"3---Wednesday","06","1985",0.120010999999977,0.063484450086695
"38",1985-06-06,189.75,191.059998,189.130005,191.059998,117200000,191.059998,"4---Thursday","06","1985",0.899994000000021,0.475784510979404
"39",1985-06-07,191.059998,191.289993,189.550003,189.679993,99630000,189.679993,"5---Friday","06","1985",-1.38000500000001,-0.726089137389137
"40",1985-06-10,189.679993,189.679993,188.820007,189.509995,87940000,189.509995,"1---Monday","06","1985",-0.169997999999993,-0.0900985829483217
"41",1985-06-11,189.509995,189.610001,188.779999,189.039993,102100000,189.039993,"2---Tuesday","06","1985",-0.470001999999994,-0.249324710872754
"42",1985-06-12,189.039993,189.039993,187.589996,187.610001,97700000,187.610001,"3---Wednesday","06","1985",-1.429992,-0.76047226825838
"43",1985-06-13,187.610001,187.610001,185.029999,185.330002,1.07e+08,185.330002,"4---Thursday","06","1985",-2.279999,-1.22179893241628
"44",1985-06-14,185.330002,187.100006,185.330002,187.100006,93090000,187.100006,"5---Friday","06","1985",1.770004,0.960236521887522
"45",1985-06-17,187.100006,187.100006,185.979996,186.529999,82170000,186.529999,"1---Monday","06","1985",-0.570007000000004,-0.306290694047589
"46",1985-06-18,186.529999,187.649994,186.509995,187.339996,106900000,187.339996,"2---Tuesday","06","1985",0.80999700000001,0.436585460230617
"47",1985-06-19,187.339996,187.979996,186.630005,186.630005,108300000,186.630005,"3---Wednesday","06","1985",-0.709991000000002,-0.38101911304109
"48",1985-06-20,186.630005,186.740005,185.970001,186.729996,87500000,186.729996,"4---Thursday","06","1985",0.0999909999999886,0.053865753006896
"49",1985-06-21,186.729996,189.660004,186.429993,189.610001,125400000,189.610001,"5---Friday","06","1985",2.88000500000001,1.55064074841202
"50",1985-06-24,188.770004,189.610001,187.839996,189.149994,96040000,189.149994,"1---Monday","06","1985",-0.460007000000019,-0.243893217518205
"51",1985-06-25,189.149994,190.960007,189.149994,189.740005,115700000,189.740005,"2---Tuesday","06","1985",0.590011000000004,0.313585447151279
"52",1985-06-26,189.740005,190.259995,189.440002,190.059998,94130000,190.059998,"3---Wednesday","06","1985",0.319993000000011,0.169541693081979
"53",1985-06-27,190.059998,191.360001,190.059998,191.229996,106700000,191.229996,"4---Thursday","06","1985",1.16999799999999,0.618850107043793
"54",1985-06-28,191.229996,191.850006,191.039993,191.850006,105200000,191.850006,"5---Friday","06","1985",0.620010000000008,0.325926516867512
"55",1985-07-01,191.850006,192.429993,191.169998,192.429993,96080000,192.429993,"1---Monday","07","1985",0.579986999999988,0.303896768020006
"56",1985-07-02,192.429993,192.630005,191.839996,192.009995,111100000,192.009995,"2---Tuesday","07","1985",-0.419997999999993,-0.219400311005597
"57",1985-07-03,192.009995,192.080002,191.369995,191.449997,98410000,191.449997,"3---Wednesday","07","1985",-0.559998000000007,-0.293177328233534
"58",1985-07-05,191.449997,192.669998,191.449997,192.520004,62450000,192.520004,"5---Friday","07","1985",1.070007,0.561830935602485
"59",1985-07-08,192.470001,192.520004,191.259995,191.929993,83670000,191.929993,"1---Monday","07","1985",-0.590011000000004,-0.308067558311039
"60",1985-07-09,191.929993,191.929993,190.809998,191.050003,99060000,191.050003,"2---Tuesday","07","1985",-0.879989999999992,-0.460896680596428
"61",1985-07-10,191.050003,192.369995,190.990005,192.369995,108200000,192.369995,"3---Wednesday","07","1985",1.31999199999998,0.694549844337537
"62",1985-07-11,192.369995,192.949997,192.279999,192.940002,122800000,192.940002,"4---Thursday","07","1985",0.570007000000004,0.2978559935689
"63",1985-07-12,192.940002,193.320007,192.639999,193.289993,120300000,193.289993,"5---Friday","07","1985",0.349991000000017,0.182343959754683
"64",1985-07-15,193.289993,193.839996,192.550003,192.720001,103900000,192.720001,"1---Monday","07","1985",-0.569992000000013,-0.296423121717007
"65",1985-07-16,192.720001,194.720001,192.720001,194.720001,132500000,194.720001,"2---Tuesday","07","1985",2,1.04318797703324
"66",1985-07-17,194.860001,196.070007,194.720001,195.649994,159900000,195.649994,"3---Wednesday","07","1985",0.929992999999996,0.48007071814954
"67",1985-07-18,195.649994,195.649994,194.339996,194.380005,131400000,194.380005,"4---Thursday","07","1985",-1.26998899999998,-0.652447489929016
"68",1985-07-19,194.380005,195.130005,194.279999,195.130005,114800000,195.130005,"5---Friday","07","1985",0.75,0.387837408526285
"69",1985-07-22,195.130005,195.130005,193.580002,194.350006,93540000,194.350006,"1---Monday","07","1985",-0.779999000000004,-0.401792087730077
"70",1985-07-23,194.350006,194.979996,192.279999,192.550003,143600000,192.550003,"2---Tuesday","07","1985",-1.800003,-0.930955750784928
"71",1985-07-24,192.550003,192.550003,190.660004,191.580002,128600000,191.580002,"3---Wednesday","07","1985",-0.970000999999996,-0.506395711202362
"72",1985-07-25,191.580002,192.229996,191.169998,192.059998,123300000,192.059998,"4---Thursday","07","1985",0.479996,0.251860633310309
"73",1985-07-26,192.059998,192.779999,191.580002,192.399994,1.07e+08,192.399994,"5---Friday","07","1985",0.339995999999985,0.177952477524879
"74",1985-07-29,192.399994,192.419998,189.529999,189.600006,95960000,189.600006,"1---Monday","07","1985",-2.79998799999998,-1.46289868744718
"75",1985-07-30,189.619995,190.050003,189.300003,189.929993,102300000,189.929993,"2---Tuesday","07","1985",0.329986999999988,0.174966590404026
"76",1985-07-31,189.929993,191.330002,189.929993,190.919998,124200000,190.919998,"3---Wednesday","07","1985",0.990004999999996,0.524006265114294
"77",1985-08-01,190.919998,192.169998,190.910004,192.110001,121500000,192.110001,"4---Thursday","08","1985",1.19000300000002,0.626581198679256
"78",1985-08-02,192.110001,192.110001,191.270004,191.479996,87860000,191.479996,"5---Friday","08","1985",-0.630005000000011,-0.329655693947702
"79",1985-08-05,191.479996,191.479996,189.949997,190.619995,79610000,190.619995,"1---Monday","08","1985",-0.860001000000011,-0.451491504651234
"80",1985-08-06,190.619995,190.720001,187.869995,187.929993,1.04e+08,187.929993,"2---Tuesday","08","1985",-2.69000199999999,-1.41862781928667
"81",1985-08-07,187.929993,187.929993,187.389999,187.679993,1e+08,187.679993,"3---Wednesday","08","1985",-0.25,-0.133739907645532
"82",1985-08-08,187.679993,188.960007,187.679993,188.949997,102900000,188.949997,"4---Thursday","08","1985",1.270004,0.680310717603252
"83",1985-08-09,188.949997,189.050003,188.110001,188.320007,81750000,188.320007,"5---Friday","08","1985",-0.629989999999992,-0.335190215512476
"84",1985-08-12,188.320007,188.320007,187.429993,187.630005,77340000,187.630005,"1---Monday","08","1985",-0.690001999999993,-0.36835467340122
"85",1985-08-13,187.630005,188.149994,186.509995,187.300003,80300000,187.300003,"2---Tuesday","08","1985",-0.330002000000007,-0.176821513775348
"86",1985-08-14,187.300003,187.869995,187.300003,187.410004,85780000,187.410004,"3---Wednesday","08","1985",0.110000999999983,0.0590450876160118
"87",1985-08-15,187.410004,187.740005,186.619995,187.259995,86100000,187.259995,"4---Thursday","08","1985",-0.150008999999983,-0.0804726124033466
"88",1985-08-16,187.259995,187.259995,186.100006,186.100006,87910000,186.100006,"5---Friday","08","1985",-1.159989,-0.622779464801336
"89",1985-08-19,186.100006,186.820007,186.100006,186.380005,67930000,186.380005,"1---Monday","08","1985",0.279999000000004,0.151269038856759
"90",1985-08-20,186.380005,188.270004,186.380005,188.080002,91230000,188.080002,"2---Tuesday","08","1985",1.699997,0.91703363585517
"91",1985-08-21,188.080002,189.160004,188.080002,189.160004,94880000,189.160004,"3---Wednesday","08","1985",1.08000199999998,0.577294199515766
"92",1985-08-22,189.110001,189.229996,187.199997,187.360001,90600000,187.360001,"4---Thursday","08","1985",-1.80000299999998,-0.956634227112355
"93",1985-08-23,187.220001,187.350006,186.589996,187.169998,75270000,187.169998,"5---Friday","08","1985",-0.190003000000019,-0.101954818083532
"94",1985-08-26,187.169998,187.440002,186.460007,187.309998,70290000,187.309998,"1---Monday","08","1985",0.140000000000015,0.075200086750828
"95",1985-08-27,187.309998,188.100006,187.309998,188.100006,82140000,188.100006,"2---Tuesday","08","1985",0.790008,0.424028773807405
"96",1985-08-28,188.100006,188.830002,187.899994,188.830002,88530000,188.830002,"3---Wednesday","08","1985",0.729996,0.390163536392404
"97",1985-08-29,188.729996,188.940002,188.380005,188.929993,85660000,188.929993,"4---Thursday","08","1985",0.0999909999999886,0.0532348394480604
"98",1985-08-30,188.929993,189.130005,188,188.630005,81620000,188.630005,"5---Friday","08","1985",-0.299987999999985,-0.15962752683122
"99",1985-09-03,188.630005,188.630005,187.380005,187.910004,81190000,187.910004,"2---Tuesday","09","1985",-0.720001000000025,-0.383734467203167
"100",1985-09-04,187.910004,187.919998,186.970001,187.369995,85510000,187.369995,"3---Wednesday","09","1985",-0.540008999999998,-0.288913909605394
"101",1985-09-05,187.369995,187.520004,186.889999,187.270004,94480000,187.270004,"4---Thursday","09","1985",-0.0999909999999886,-0.0536518767412043
"102",1985-09-06,187.270004,188.429993,187.270004,188.240005,95040000,188.240005,"5---Friday","09","1985",0.970000999999996,0.520749975395929
"103",1985-09-09,188.240005,188.800003,187.899994,188.25,89850000,188.25,"1---Monday","09","1985",0.00999500000000353,0.00533806864617608
"104",1985-09-10,188.25,188.259995,186.5,186.899994,104700000,186.899994,"2---Tuesday","09","1985",-1.35000600000001,-0.720964485981312
"105",1985-09-11,186.899994,186.899994,184.789993,185.029999,100400000,185.029999,"3---Wednesday","09","1985",-1.86999499999999,-1.00591450261154
"106",1985-09-12,185.029999,185.210007,183.490005,183.690002,107100000,183.690002,"4---Thursday","09","1985",-1.33999700000001,-0.728140524523945
"107",1985-09-13,183.690002,184.190002,182.050003,182.910004,111400000,182.910004,"5---Friday","09","1985",-0.779998000000006,-0.426951662083843
"108",1985-09-16,182.910004,182.910004,182.449997,182.880005,66700000,182.880005,"1---Monday","09","1985",-0.0299989999999752,-0.0164911216207632
"109",1985-09-17,182.880005,182.880005,180.779999,181.360001,111900000,181.360001,"2---Tuesday","09","1985",-1.520004,-0.835718032886573
"110",1985-09-18,181.360001,181.830002,180.809998,181.710007,105700000,181.710007,"3---Wednesday","09","1985",0.350005999999979,0.194059657384887
"111",1985-09-19,181.710007,183.399994,181.710007,183.389999,100300000,183.389999,"4---Thursday","09","1985",1.679992,0.929661853203292
"112",1985-09-20,183.389999,183.990005,182.039993,182.050003,101400000,182.050003,"5---Friday","09","1985",-1.33999599999999,-0.734687212756652
"113",1985-09-23,182.050003,184.649994,182.050003,184.300003,104800000,184.300003,"1---Monday","09","1985",2.25,1.24275060078292
"114",1985-09-24,184.300003,184.300003,182.419998,182.619995,97870000,182.619995,"2---Tuesday","09","1985",-1.68000800000002,-0.916534627661744
"115",1985-09-25,182.619995,182.619995,180.619995,180.660004,92120000,180.660004,"3---Wednesday","09","1985",-1.959991,-1.07917137647757
"116",1985-09-26,180.660004,181.289993,179.449997,181.289993,106100000,181.289993,"4---Thursday","09","1985",0.629989000000023,0.350656231756526
"117",1985-09-30,181.300003,182.080002,181.220001,182.080002,103600000,182.080002,"1---Monday","09","1985",0.790008999999998,0.438187936476318
"118",1985-10-01,182.059998,185.080002,182.020004,185.070007,130200000,185.070007,"2---Tuesday","10","1985",2.990005,1.6512066307576
"119",1985-10-02,185.070007,185.940002,184.059998,184.059998,147300000,184.059998,"3---Wednesday","10","1985",-1.010009,-0.548709165855574
"120",1985-10-03,184.059998,185.169998,183.589996,184.360001,127500000,184.360001,"4---Thursday","10","1985",0.300003000000004,0.163882335451574
"121",1985-10-04,184.360001,184.360001,182.649994,183.220001,101200000,183.220001,"5---Friday","10","1985",-1.14000000000001,-0.621727745300358
"122",1985-10-07,183.220001,183.220001,181.300003,181.869995,95550000,181.869995,"1---Monday","10","1985",-1.35000600000001,-0.74086598210479
"123",1985-10-08,181.869995,182.300003,181.160004,181.869995,97170000,181.869995,"2---Tuesday","10","1985",0,0
"124",1985-10-09,181.869995,183.270004,181.869995,182.520004,99140000,182.520004,"3---Wednesday","10","1985",0.650009000000011,0.359379122004184
"125",1985-10-10,182.520004,182.789993,182.050003,182.779999,90910000,182.779999,"4---Thursday","10","1985",0.259995000000004,0.143232147570911
"126",1985-10-11,182.779999,184.279999,182.610001,184.279999,96370000,184.279999,"5---Friday","10","1985",1.5,0.825173290929548
"127",1985-10-14,184.309998,186.369995,184.279999,186.369995,78540000,186.369995,"1---Monday","10","1985",2.08999599999999,1.14032955663645
"128",1985-10-15,186.369995,187.160004,185.660004,186.080002,110400000,186.080002,"2---Tuesday","10","1985",-0.289992999999981,-0.156440097007059
"129",1985-10-16,186.080002,187.979996,186.080002,187.979996,117400000,187.979996,"3---Wednesday","10","1985",1.89999399999999,1.02657984626561
"130",1985-10-17,187.979996,188.520004,187.419998,187.660004,140500000,187.660004,"4---Thursday","10","1985",-0.319992000000013,-0.171137023663223
"131",1985-10-18,187.660004,188.110001,186.889999,187.039993,107100000,187.039993,"5---Friday","10","1985",-0.620010999999977,-0.332160605761037
"132",1985-10-21,187.039993,187.300003,186.789993,186.960007,95680000,186.960007,"1---Monday","10","1985",-0.0799860000000194,-0.0429939814070082
"133",1985-10-22,186.960007,188.559998,186.960007,188.039993,111300000,188.039993,"2---Tuesday","10","1985",1.07998600000002,0.580762507714909
"134",1985-10-23,188.039993,189.089996,188.039993,189.089996,121700000,189.089996,"3---Wednesday","10","1985",1.050003,0.561378870453659
"135",1985-10-24,189.089996,189.449997,188.410004,188.5,123100000,188.5,"4---Thursday","10","1985",-0.589996000000014,-0.313677501487114
"136",1985-10-25,188.5,188.509995,187.320007,187.520004,101800000,187.520004,"5---Friday","10","1985",-0.979996,-0.522664533333333
"137",1985-10-28,187.520004,187.759995,186.929993,187.759995,97880000,187.759995,"1---Monday","10","1985",0.239991000000003,0.128667700436037
"138",1985-10-29,187.759995,189.779999,187.759995,189.229996,110600000,189.229996,"2---Tuesday","10","1985",1.470001,0.787107003295859
"139",1985-10-30,189.229996,190.089996,189.139999,190.070007,120400000,190.070007,"3---Wednesday","10","1985",0.840011000000004,0.446268404532083
"140",1985-10-31,190.070007,190.149994,189.350006,189.820007,121500000,189.820007,"4---Thursday","10","1985",-0.25,-0.132226154727968
"141",1985-11-01,189.820007,191.529999,189.369995,191.529999,129400000,191.529999,"5---Friday","11","1985",1.709992,0.905620133781692
"142",1985-11-04,191.449997,191.960007,190.660004,191.25,104900000,191.25,"1---Monday","11","1985",-0.279999000000004,-0.146957960147789
"143",1985-11-05,191.25,192.429993,190.990005,192.369995,119200000,192.369995,"2---Tuesday","11","1985",1.11999499999999,0.588696452036788
"144",1985-11-06,192.369995,193.009995,191.830002,192.759995,129500000,192.759995,"3---Wednesday","11","1985",0.390000000000015,0.203793703396405
"145",1985-11-07,192.779999,192.960007,192.160004,192.619995,1.19e+08,192.619995,"4---Thursday","11","1985",-0.140000000000015,-0.0730079284785207
"146",1985-11-08,192.619995,193.970001,192.529999,193.720001,1.15e+08,193.720001,"5---Friday","11","1985",1.10000600000001,0.574055959034968
"147",1985-11-11,193.720001,197.289993,193.699997,197.279999,126500000,197.279999,"1---Monday","11","1985",3.55999800000001,1.8472384711123
"148",1985-11-12,197.279999,198.660004,196.970001,198.080002,170800000,198.080002,"2---Tuesday","11","1985",0.800003000000004,0.4075825372304
"149",1985-11-13,198.080002,198.110001,196.910004,197.100006,109700000,197.100006,"3---Wednesday","11","1985",-0.979996,-0.497257961261843
"150",1985-11-14,197.100006,199.190002,196.880005,199.059998,124900000,199.059998,"4---Thursday","11","1985",1.959992,0.999485945961674
"151",1985-11-15,199.059998,199.580002,197.899994,198.110001,130200000,198.110001,"5---Friday","11","1985",-0.949996999999996,-0.479651120666979
"152",1985-11-18,198.110001,198.710007,197.509995,198.710007,108400000,198.710007,"1---Monday","11","1985",0.600005999999979,0.304401601621411
"153",1985-11-19,198.710007,199.520004,198.009995,198.669998,126100000,198.669998,"2---Tuesday","11","1985",-0.0400089999999977,-0.0202362038255341
"154",1985-11-20,198.669998,199.199997,198.520004,198.990005,105100000,198.990005,"3---Wednesday","11","1985",0.320007000000004,0.161889514462384
"155",1985-11-21,198.990005,201.429993,198.990005,201.410004,150300000,201.410004,"4---Thursday","11","1985",2.41999899999999,1.22228341779172
"156",1985-11-22,201.410004,202.009995,201.050003,201.520004,133800000,201.520004,"5---Friday","11","1985",0.110000000000014,0.0548874795691405
"157",1985-11-25,201.520004,201.520004,200.080002,200.350006,91710000,200.350006,"1---Monday","11","1985",-1.16999799999999,-0.583481935298581
"158",1985-11-26,200.350006,201.160004,200.110001,200.669998,123100000,200.669998,"2---Tuesday","11","1985",0.319991999999985,0.160517677636782
"159",1985-11-27,200.669998,202.649994,200.669998,202.539993,143700000,202.539993,"3---Wednesday","11","1985",1.86999500000002,0.936542804993676
"160",1985-11-29,202.539993,203.399994,201.919998,202.169998,84060000,202.169998,"5---Friday","11","1985",-0.369995000000017,-0.183583910316012
"161",1985-12-02,202.169998,202.190002,200.199997,200.460007,103500000,200.460007,"1---Monday","12","1985",-1.709991,-0.850022874683332
"162",1985-12-03,200.460007,200.979996,200.100006,200.860001,109700000,200.860001,"2---Tuesday","12","1985",0.399994000000021,0.200538446787491
"163",1985-12-04,200.860001,204.229996,200.860001,204.229996,153200000,204.229996,"3---Wednesday","12","1985",3.36999499999999,1.68617781604033
"164",1985-12-05,204.229996,205.860001,203.789993,203.880005,1.81e+08,203.880005,"4---Thursday","12","1985",-0.349990999999989,-0.172214243413157
"165",1985-12-06,203.880005,203.880005,202.449997,202.990005,125500000,202.990005,"5---Friday","12","1985",-0.890000000000015,-0.438682954488302
"166",1985-12-09,202.990005,204.649994,202.979996,204.25,1.44e+08,204.25,"1---Monday","12","1985",1.259995,0.623790766280739
"167",1985-12-10,204.25,205.160004,203.679993,204.389999,156500000,204.389999,"2---Tuesday","12","1985",0.139998999999989,0.0688801968019625
"168",1985-12-11,204.389999,206.679993,204.169998,206.309998,178500000,206.309998,"3---Wednesday","12","1985",1.91999900000002,0.943998726309064
"169",1985-12-12,206.309998,207.649994,205.830002,206.729996,170500000,206.729996,"4---Thursday","12","1985",0.419997999999993,0.204567728844843
"170",1985-12-13,206.729996,210.309998,206.729996,209.940002,177900000,209.940002,"5---Friday","12","1985",3.21000599999999,1.56030042405678
"171",1985-12-16,209.940002,213.080002,209.910004,212.020004,1.76e+08,212.020004,"1---Monday","12","1985",2.08000200000001,0.995502048478016
"172",1985-12-17,212.020004,212.449997,210.580002,210.649994,155200000,210.649994,"2---Tuesday","12","1985",-1.37001000000001,-0.649232287949349
"173",1985-12-18,210.649994,211.229996,209.240005,209.809998,137900000,209.809998,"3---Wednesday","12","1985",-0.839995999999985,-0.400665883157614
